nama,fakultas,nilai_kal,nilai_fis,nilai_kim
Raihan Daris,SF,60.27,65.59,51.7
Galuh Wina,STEI,52.99,55.25,66.31
Johannes Sun,FMIPA,51.2,51.3,84.7
Abdurrahman WIlliam,FTSL,31.17,36.88,50.25
Rayhan Faris,STEI,55.55,57.61,67.46
Margareth Widyatama,FTTM,42.78,50.23,71.17
Christofer Jaza,FTSL,31.64,38.03,34.99
Wafika Nadia,SF,60.96,57.54,76.03
Elizabeth Parikesit,STEI,54.35,55.3,59.15
Halida Aqila,SITHR,63.71,67.23,63.76
Salmanhakim Ikmal,FTSL,36.74,40.98,40.64
Rahmani Mokobombang,FTTM,42.45,43.99,51.18
Prasojo Zalfadhila,FTMD,57.06,57.21,58.78
Muhandisa Awaliya,FTSL,34.55,39.9,55.66
Ali Irfani,STEI,54.95,54.93,66.79
Danu Muhammad,SBM,67.19,69.32,63.11
Pahlawan Olivia,FTSL,32.46,36.25,58.71
Nadia Mabrur,FMIPA,50.3,50.38,53.49
Maria Manurung,FTMD,56.86,58.83,86.26
Widhiyani Aziz,FTTM,38.67,41.4,65.24
Gavrilla Kezia,FMIPA,49.83,59.46,48.13
Cahya Nadhira,FSRD,77.39,77.74,62.18
Taufik Rasyadi,FSRD,69.91,72.41,29.35
Geraldin Afifah,SITHS,61.77,63.88,46.65
Angel Hafizh,FTTM,42.99,50.6,68.5
Dwitya Parameswara,FMIPA,50.26,54.98,56.14
Pandu Raka,SBM,67.28,69.18,52.68
Rizki Muhammad,SAPPK,46.6,44.01,60.3
Kumara Andjani,FTMD,59.23,64.52,42.66
Husna Abdul,FTMD,57.6,59.31,73.75
Leonard Xiang,FTMD,56.84,57.49,57.19
Alifia Zukhrufa,FMIPA,49.68,52.35,52.72
Mahindra Ahmad,FMIPA,48.53,53.95,74.2
Ananda T,SITHR,63.65,62.5,62.33
Dewanto Ahmad,FITB,44.33,49.01,57.93
Muhamad Adiputra,FITB,43.77,48.52,43.06
Sutanto Talitha,SBM,65.16,70.88,64.36
Ariq Kartika,STEI,52.64,51.36,70.31
Irawan Andrea,STEI,53.53,60.27,83.13
Ferullah Bintang,FTSL,28.72,31.68,62.45
Pristandhini Hayyi,SAPPK,46.65,45.85,60.23
Angela Karina,SBM,66.72,68.97,53.57
Angeli Alrahman,FTTM,40.05,49.2,71.61
Attar Dina,SBM,67.17,66.78,43.14
Antonius Azkiya,SITHR,65.04,66.04,54.13
Kusuma Rivan,FTMD,58.7,62.21,50.74
Falakh Enggita,SBM,68.67,73.4,77.61
Aqila Marini,SITHR,64.35,61.91,52.02
Akbarsyah Muhammad,FTMD,58.01,57.62,51.43
Kenesha Monica,FTTM,41.63,39.58,61.25
Ulul Mochammad,FTTM,38.75,44.24,40.11
George Vrince,FITB,44.02,45.15,41.76
Fayza Eunike,STEI,55.28,59.47,49.29
Kevin Faustin,SAPPK,47.72,49.65,52.76
salah Siagian,SAPPK,47.14,51.26,46.77
Nabilah Satya,SF,61.26,63.96,57.19
Tharisa Ghiffari,FSRD,74.14,78.86,54.59
Setyawan Ahmad,FSRD,75.18,78.33,51.35
Kelvin Salsabiela,FTTM,39.69,40.92,51.15
Sitorus Aidil,FTMD,58.49,55.54,55.2
Hendrianto Muhammad,FTTM,41.84,45.93,68.35
Yassar Henilesta,STEI,54.1,55.91,54.61
Pratama Putri,FTTM,42.27,49.21,37.85
Rizki Yudhistira,STEI,54.7,57.62,52.58
Nurrahman Djalins,FSRD,73.39,76.19,60.56
Billifie Dewi,SAPPK,47.13,50.88,52.36
Anisya Nashita,SBM,69.06,70.04,73.36
Putra Arrafy,SAPPK,47.62,52.01,68.1
Katili(re-upload Khairo,STEI,52.44,55.72,54.39
Delistina Dhia,SBM,66.62,68.2,51.68
Kristna Mario,FSRD,75.66,74.33,59.09
Karel Hardi,FTMD,59.65,55.08,55.34
Kezia Karina,FTMD,57.61,61.19,40.42
Firsta Gilbert,STEI,55.95,57.94,57.41
Amin Afdial,FMIPA,49.44,49.45,52.55
Ihsan Muhammad,FMIPA,49.43,55.08,60.86
kuntadi Pindhan,STEI,55.81,56.6,57.23
Junardi Izzaty,FMIPA,48.99,52.95,55.12
Hizkia Hasanah,FITB,43.98,50.36,63.19
Akbar Muhammad,FTTM,41.02,44.72,73.15
Dinesh Luong,SBM,68.57,64.82,52.95
Naqiyyah Steve,STEI,53.45,54.46,61.07
Amanda Davin,FMIPA,51.5,53.99,64.95
Putu Rizki,FTTM,42.16,42.51,66.63
Kanaya Naufal,FMIPA,50.12,49.39,50.7
Fahreza milatus,FTMD,56.7,59.8,54.6
Bandem Shofiyyah,SITHR,62.87,65.21,56.97
Evieta Xaverius,SBM,68.44,73.41,54.43
Kharisma Primadiya,SAPPK,46.53,49.37,68.5
Angelika Rizky,SITHR,63.94,60.02,77.37
Hosea Nazmi,FTTM,39.86,40.24,67.11
Nadhira Christopher,FTSL,31.76,33.06,50.33
Mulyadi Sabrina,FTSL,31.93,37.86,60.67
Andhira Jonathan,STEI,52.8,54.55,61.51
Amatul Aqmarina,FTTM,42.61,44.69,62.22
Nikodemus Pamungkas,FTSL,30.64,36.56,60.51
Ho Shabrina,SITHR,63.93,71.49,60.01
Nafi' Rakhmawati,FTTM,40.36,47.43,64.49
Dania Samuel,FTMD,58.74,64.32,42.62
Sekar Diazisra,FSRD,72.4,74.27,44.85
Vincentius Putra,SAPPK,47.07,48.04,70.39
Gede Razaq,FITB,44.89,47.2,70.78
Ninagan Abdurrahman,FTMD,59.27,61.4,46.01
Davin Putri,FTMD,58.13,69.86,55.65
Kanaya Pandu,FTTM,41.99,47.35,54.96
Rayhan Andreas,FITB,43.84,45.49,66.07
Ezekiel Angela,FTSL,32.89,37.86,57.72
Ho Adzani,STEI,54.12,55.84,46.03
Banowati Muhammad,STEI,51.83,52.7,66.36
Saifana Hanif,STEI,52.74,59.74,63.14
Bunga Imani,FTMD,56.67,57.1,54.71
Aris Agustiawan,STEI,55.18,51.79,64.27
Jeremy Annel,FTMD,57.3,62.67,60.24
Faza Fitri,FMIPA,48.28,52.12,66.36
Iraqee Aqila,STEI,54.3,55.23,56.96
Della Muhammad,FTSL,37.01,44.5,73.93
Zoe Fauzan,STEI,53.74,56.34,69.85
Daffa nigel,FTSL,27.6,33.0,60.07
Ilham Alfuady,FTSL,25.8,33.56,58.64
Adnandi Shinta,SBM,67.02,73.39,83.89
Benyamin Syafiqa,FTTM,42.3,46.7,43.41
Haryanto Oktobian,FSRD,77.78,80.85,49.98
Rafael Samudra,STEI,52.64,55.58,57.41
Tsabitha Yacob,FTTM,41.97,46.52,57.44
Putri Abel,FMIPA,50.1,50.49,65.65
Aurelia Haryanto,FTSL,28.48,33.7,74.89
Azzahra Rohmah,FTSL,24.33,25.08,50.84
hutauruk Altairatri,FITB,43.93,51.91,61.6
Hafid Dewanti,SF,60.04,65.71,66.01
adya April,FITB,46.2,47.36,45.5
Waliyatullah Dewanti,FSRD,71.22,75.63,43.49
Marulitua Nabila,FMIPA,50.39,51.84,52.23
Adrian Ahmad,FTSL,34.81,44.29,59.82
Hafiz Putri,SAPPK,48.02,50.23,50.37
Zidan Alphin,FMIPA,49.92,53.8,47.84
Iksannurdin Risky,SITHR,63.16,66.81,52.25
Baariza Rania,STEI,54.11,57.4,46.45
Andreani Nabil,FITB,43.69,40.62,61.45
Fata Cinta,SBM,67.97,70.78,56.51
Habib Azizah,FMIPA,51.12,51.36,59.4
Arkaan Rizki,STEI,54.49,55.94,46.38
lisa Adilaksono,FITB,46.32,49.71,45.95
Aurelia Steven,SAPPK,48.12,55.87,45.16
Baylon Taufiqurrahman,FSRD,77.87,79.7,66.13
Fauzi Fida,FTMD,58.02,55.24,52.12
Afifah Farra-Izadi,STEI,55.01,59.6,67.03
Khaira Fadhlurrahman,FMIPA,48.72,54.79,57.75
Alfiyah Haryana,FTSL,35.66,37.88,53.63
Sutoyo M.,FSRD,71.45,79.95,51.89
Nathania Gilang,FTMD,59.05,60.68,68.63
